record_no_	tripno	otarms	empst	occ	jbsite	wkweek	female	age	age1	age2	age3	dweltp	pinc	hhsize	nveh	weight	nwkrs	nldr	hinc	trdist	mindst	minsub	dsttrm	nterm	gacca	gegrw	gwait	gfare	lsdum	twait	taccw	tegrw	tfare	mcost	mdist	mspace	lnlots	zcost	zdist	zspace	zcd	zcs	zds	mdpri	mspri	lnlpri	zdpri	zspri	zdspri	free	aavail	tavail	dlic	ivtt1	ivtt2	ivtt3	ivtt4	ivtt5	avail1	avail1bis	avail2	avail3	avail4	avail5	choice
235	9843	806	2	1	1	1	1	34	0	1	0	3	18	3	1	0.53	2	1	45	22	206	7	14	22	5.01	1.18	1	2.81	0	3.5	1.18	3.14	1.42	5.77	619	5.13	3.71	4.28	74644.27	0.91	-151.41	-0.37	11.07	79	2.16	0.69	0.25	0.3	0.27	0	5	1	0	55	55	37.14	5.66	9999	1	0	1	1	1	0	3
109	4684	379	2	8	1	1	0	29	0	1	0	1	38	4	1	1.87	9	9	0	26	334	7	9	20	9999	9999	9999	9999	9999	5.14	1.9	3.64	0.71	5.8	622	5.12	3.61	4.73	80921.03	0.87	-103.15	-0.32	-17.17	79	2.64	0	0	0	0	0	4	1	1	56	56	54.77	43.17644807	9999	1	1	1	1	0	0	3
214	8845	848	2	2	1	1	1	25	0	1	0	1	23	5	1	0.61	2	2	60	29	243	9	7	21	6.01	4.06	0	2.5	0	17.23	2.96	10.29	1.42	6.22	641	4.77	4.68	5.95	50390.33	1.25	-279.16	0.15	-69.75	0	0	9.99	0	0	0	0	5	2	1	57	57	53.47	52.60721136	9999	1	1	1	1	1	0	3
145	6318	810	2	1	6	1	1	25	0	1	0	4	18	2	1	0.52	2	2	50	22	133	11	15	22	5.28	0.55	1	2.81	0	4.5	0.55	2.98	1.42	6.56	669	4.81	4.43	6.51	58154.67	1.12	62.77	-0.13	-63.68	86	4.08	0	0	0	0	0	5	1	1	57	57	42.94	42.06719834	9999	1	1	1	1	1	0	3
254	10661	810	2	8	1	1	1	47	0	1	0	1	38	2	1	0.62	2	1	80	24	555	12	15	22	6.89	5.03	1	2.81	0	5.49	3.02	8.09	1.42	5.56	689	4.77	3.99	3.89	54658.93	0.78	146	-0.15	21.56	89	3.84	0.69	16	2.7	-6.58	0	5	1	0	57	57	43.35	52.04176512	9999	1	0	1	1	1	0	3
66	3286	778	2	1	1	2	1	22	1	0	0	4	18	2	2	0.42	2	2	35	24	148	11	19	22	5.24	2.86	1	2.81	1	20	5.24	2.8	1.42	6.6	693	4.74	4.57	6.86	56627.21	1.13	94.61	0.08	-46.12	58	3.4	1.61	624.64	1.13	1.78	0	1	1	1	58	58	41.26	35.6318336	9999	1	1	1	1	1	0	3
231	9688	804	2	8	1	1	1	46	0	1	0	4	38	3	1	0.53	2	1	55	27	463	3	18	22	0.83	1.43	1.9	2.81	0	5.26	3.19	4.62	1.42	6.31	615	4.64	4.38	7.09	56666.9	1.18	-58.9	-0.06	115.91	78	2.29	1.79	268.8	0.34	5.99	0	1	1	1	58	58	55.12	53.29390222	9999	1	1	1	1	1	0	3
265	11083	816	2	1	5	1	1	24	1	0	0	4	8	2	1	0.52	2	2	15	25	1205	14	14	22	9.99	0.8	2.5	2.81	0	9.6	0.8	3.12	1.42	6.61	710	4.88	2.71	6.73	53607.5	1.11	149.13	-0.91	-62.88	96	2.19	0.69	16	0.01	0.45	0	1	1	1	58	58	55.66	37.28925699	9999	1	1	1	1	1	0	3
138	5939	816	2	1	1	1	1	58	0	0	1	3	23	2	2	0.42	2	2	0	25	249	2	17	22	9.15	4.28	0	2.1	0	4.98	3.01	8.11	1.42	6.62	644	4.87	4.55	5.81	59626.53	1.43	-62.17	-0.18	-30.84	0	0	9.99	0	0	0	0	1	1	1	59	59	55.47	41.25957833	9999	1	1	1	1	1	0	3
182	7857	804	2	8	1	1	1	25	0	1	0	4	28	3	1	0.53	3	3	63	26	296	9	18	22	0.83	3.92	0	2.1	0	4.91	3.05	4.62	1.42	6.36	631	4.79	4.64	5.76	45299.31	1.28	-266.56	0.08	-66.62	0	0	9.99	0	0	0	0	1	2	1	59	59	54.55	42.27399029	9999	1	1	1	1	1	0	3
89	4042	823	2	1	1	1	1	52	0	1	0	1	13	2	2	0.69	2	2	40	26	507	12	14	22	10.86	4.69	1	2.81	0	10.49	4.28	10.98	1.42	5.46	717	4.75	3.89	3.69	43062.53	0.83	68.18	-0.24	5.3	0	0	9.99	0	0	0	0	4	1	1	60	60	53.04	37.3043602	9999	1	1	1	1	1	0	3
225	9351	789	2	8	1	1	0	30	0	1	0	4	48	1	1	0.53	1	1	48	27	95	2	20	22	5.79	3.9	0	2.1	1	7.87	1.86	2.25	1.42	6.63	619	4.85	4.56	5.7	48602.34	1.45	-156.87	-0.18	-37.3	95	2.3	0.69	6.25	0	0	0	1	1	1	61	61	57.01	46.73707731	9999	1	1	1	1	1	0	3
209	8641	369	2	1	1	1	1	59	0	0	1	1	38	2	3	1.48	2	2	70	35	102	2	5	20	1.13	2.11	0.74	2.81	1	7.61	0.83	7.93	0.71	6.65	622	4.79	4.56	5.79	57781.04	1.43	-165.5	-0.24	-5.88	0	0	9.99	0	0	0	1	5	4	1	62	62	64.8	40.47649383	9999	1	1	1	1	1	0	3
197	8101	371	2	8	6	2	0	40	0	1	0	1	43	4	2	1.78	-50	-50	0	30	279	5	3	20	9999	3.53	1	2.81	1	7.61	3.4	3.82	0.71	5.56	610	4.62	4.49	4.05	47067.69	0.9	108.34	0	-54.71	0	0	9.99	0	0	0	0	1	2	1	62	62	51.35	52.53927928	9999	1	1	1	1	1	0	3
232	9690	804	2	1	1	1	1	21	1	0	0	4	18	3	1	0.53	2	1	55	27	277	11	17	22	0.83	1.08	1	2.81	0	4.69	1.08	4.62	1.42	6.14	640	4.91	4.23	4.06	56394.29	1.12	-88.58	-0.16	-41.71	75	4.51	0.69	42.25	0.19	2.83	0	5	1	0	62	62	52.08	46.51541744	9999	1	0	1	1	1	0	3
250	10589	369	2	8	1	1	0	31	0	1	0	1	43	4	2	1.78	2	2	0	36	271	2	5	20	1.68	4.65	0.04	2.81	1	9.76	2.64	11.71	0.71	6.53	658	4.76	4.74	5.44	43639.47	1.34	-243.3	-0.05	-42.78	0	0	9.99	0	0	0	0	1	2	1	63	63	62.32	39.87570524	9999	1	1	1	1	1	0	3
272	11362	721	2	8	1	1	0	55	0	0	1	1	70	4	4	0.33	2	4	138	48	273	9	16	20	34.56	4.6	0	2.9	0	9999	9999	9999	1.42	6.3	639	4.78	4.69	5.7	45672.77	1.27	-260.05	0.16	-60.36	0	0	9.99	0	0	0	0	1	3	1	64	64	45	42.93380961	9999	1	1	1	1	1	0	3
206	8536	782	2	2	1	1	1	37	0	1	0	4	33	1	1	0.53	1	1	33	28	296	9	22	22	4.43	3.92	0	2.1	1	20.87	2.58	8.39	1.42	6.36	631	4.79	4.64	5.76	45299.31	1.28	-266.56	0.08	-66.62	0	0	9.99	0	0	0	0	1	1	1	66	66	52.83	43.08399281	9999	1	1	1	1	1	0	3
257	10719	822	2	1	1	1	1	30	0	1	0	1	23	4	2	1.42	2	2	0	27	118	1	16	22	11.68	3.88	0	2.1	0	7.69	2.9	3.06	1.42	6.1	607	4.84	4.5	7.05	75254.34	1.27	-36.43	0.41	-28.77	63	2.48	1.1	10.89	0.25	-1.55	0	5	1	1	66	66	61.87	47.39017485	9999	1	1	1	1	1	0	3
229	9591	420	2	8	1	1	0	44	0	1	0	1	33	4	2	1.42	1	2	33	40	2180	5	0	0	1.39	3.73	1.96	3.51	1	9999	9999	9999	9999	0	0	0	9.99	0	0	0	0	0	0	42	3.4	0	0	0	0	0	1	1	1	66	66	55	49.11677197	9999	1	1	1	1	1	0	3
158	6708	814	2	8	1	1	0	40	0	1	0	1	43	2	2	0.69	2	2	65	29	341	2	19	22	11.85	2.15	0	2.6	0	7.85	1.68	3.73	1.42	6.6	606	4.94	4.51	5.88	51352.88	1.32	-151.82	-0.11	-39.13	0	0	9.99	0	0	0	1	1	1	1	67	67	64.31	44.57381304	9999	1	1	1	1	1	0	3
267	11165	417	2	9	1	2	0	38	0	1	0	1	33	4	1	0.61	1	1	33	40	271	2	0	0	6.29	4.65	0.04	3.51	1	9999	9999	9999	9999	6.53	658	4.76	4.74	5.44	43639.47	1.34	-243.3	-0.05	-42.78	0	0	9.99	0	0	0	0	3	1	0	67	67	51	36.91640537	9999	1	0	1	1	1	0	3
244	10345	644	2	2	1	1	1	40	0	1	0	2	28	4	2	1.42	9	9	0	43	147	7	25	20	23.92	0.23	1	4.06	0	26.5	0.23	6.65	1.42	5.87	621	5.11	3.76	4.07	71031.21	0.87	-140.55	-0.31	4.52	26	2.71	0	0	0	0	0	1	1	1	67	67	72.7	53.41455384	9999	1	1	1	1	1	0	3
147	6421	892	2	1	1	1	1	23	1	0	0	4	18	2	2	0.42	2	2	50	34	296	9	9	21	7.21	3.92	0	3.1	0	6.27	3.05	5.65	1.42	6.36	631	4.79	4.64	5.76	45299.31	1.28	-266.56	0.08	-66.62	0	0	9.99	0	0	0	0	1	1	1	69	69	61.2	36.67520221	9999	1	1	1	1	1	0	3
